Fs = 100.0
239. Vre[239] = -20.57474071919944
240. Vre[240] = -19.94456601907812
241. Vre[241] = -21.88048742350397
242. Vre[242] = -28.49132174774053
243. Vre[243] = -56.02817468281726
244. Vre[244] = 142.66748936634218
245. Vre[245] = 24.147814506405265
246. Vre[246] = -222.27360148367984
247. Vre[247] = 6.194243315759476
248. Vre[248] = 3.476305243019624
249. Vre[249] = 1.627249073877124
250. Vre[250] = 0.1046907860579509
251. Vre[251] = -1.4122319374406587
252. Vre[252] = -3.2437086427152515
253. Vre[253] = -5.929941860269764
254. Vre[254] = -10.85602423350484
255. Vre[255] = -23.757446080153528
256. Vre[256] = -142.16189996415943
257. Vre[257] = 56.71276266172342
258. Vre[258] = 29.467177681644856
259. Vre[259] = 23.366099459433386
260. Vre[260] = 22.428996385237703
261. Vre[261] = 25.42049371323375
262. Vre[262] = 37.28758651523205
263. Vre[263] = 155.26160513034895
264. Vre[264] = -43.53803175760771
265. Vre[265] = -15.684894626148212
266. Vre[266] = -8.270240284829896
267. Vre[267] = -4.844650191004881
268. Vre[268] = -2.8115019835115618
269. Vre[269] = -1.3669146210072078
270. Vre[270] = -0.15455463816105564
271. Vre[271] = 1.0511379908364464
272. Vre[272] = 2.474874386833182
273. Vre[273] = 237.91422649649127
274. Vre[274] = 7.835596688248641
275. Vre[275] = 15.15777866858109
276. Vre[276] = 42.86830360816083
277. Vre[277] = -156.15818634902945
278. Vre[278] = -38.56594725103682
279. Vre[279] = -27.401305439085547
280. Vre[280] = -25.90117352388372
281. Vre[281] = -30.926683624776267
282. Vre[282] = -57.581437659548094
283. Vre[283] = 141.6738678885809
284. Vre[284] = 23.551053029160634
285. Vre[285] = 10.88745361418492
286. Vre[286] = 6.189551666618684
287. Vre[287] = -229.6941341434935
288. Vre[288] = 2.2146232908382046
289. Vre[289] = 1.0889200491303939
290. Vre[290] = 0.1316318847542295
291. Vre[291] = -0.8177548491168736
292. Vre[292] = -1.9186747659680687
293. Vre[293] = -3.4087167417308795
294. Vre[294] = -5.775686405026262
295. Vre[295] = -10.360336447785908
296. Vre[296] = -22.845760287290517
297. Vre[297] = -140.67704981993523
298. Vre[298] = 59.089371201028385
299. Vre[299] = 33.43600902981819
300. Vre[300] = 30.775829001174387
301. Vre[301] = 40.37643923835555
302. Vre[302] = 157.18969017347507
303. Vre[303] = -42.30250224146634
304. Vre[304] = -14.914469763211859
305. Vre[305] = -7.847993464578192
306. Vre[306] = -4.713718137605694
307. Vre[307] = -2.9547802762053337
308. Vre[308] = -1.8015107828846588
309. Vre[309] = -0.9373350494632628
310. Vre[310] = -0.19675638865457934
311. Vre[311] = 0.5344120512230361
312. Vre[312] = 234.81298092978335
313. Vre[313] = 2.4678498737779258
314. Vre[314] = 4.138332670916775
315. Vre[315] = 7.1325735294312835
316. Vre[316] = 13.973554658019573
317. Vre[317] = 40.98005785489623
318. Vre[318] = -159.21542135828997
319. Vre[319] = -43.89552339484838
320. Vre[320] = -38.38662236277761
321. Vre[321] = -61.60538033415637
322. Vre[322] = 139.2351908684086
323. Vre[323] = 21.994414991290295
324. Vre[324] = 9.890395770503467
325. Vre[325] = 5.589291093064816
326. Vre[326] = 3.4633576618597246
327. Vre[327] = 2.206302645690016
328. Vre[328] = -232.08521558710356
329. Vre[329] = 0.7152410037307053
330. Vre[330] = 0.16263882732263646
331. Vre[331] = -0.3787187068488027
332. Vre[332] = -0.9867446244402069
333. Vre[333] = -1.7684766877821403
334. Vre[334] = -2.9171638737941805
335. Vre[335] = -4.868214964881022
336. Vre[336] = -8.879782041622004
337. Vre[337] = -20.47353087993727
338. Vre[338] = -136.71268306634312
339. Vre[339] = 66.494548554532
340. Vre[340] = 51.37880990543535
341. Vre[341] = 162.54029143220615
342. Vre[342] = -39.218477931030904
343. Vre[343] = -12.991309919733052
344. Vre[344] = -6.617488412954716
345. Vre[345] = -3.948419559076676
346. Vre[346] = -2.5377641952482293
347. Vre[347] = -1.6759166415642106
348. Vre[348] = -1.0860612309633666
349. Vre[349] = -0.6369133092768564
350. Vre[350] = -0.25404497452480257
351. Vre[351] = 233.55929099821574
352. Vre[352] = 0.521469866757517
353. Vre[353] = 1.0310440281287097
354. Vre[354] = 1.758654841286484
355. Vre[355] = 2.947804484317958
356. Vre[356] = 5.237887676886913
357. Vre[357] = 10.909739884599832
358. Vre[358] = 35.643758414883806
359. Vre[359] = -170.20760910783235
360. Vre[360] = -79.60675269402346
361. Vre[361] = 131.76807370394778
362. Vre[362] = 17.96313353117733
363. Vre[363] = 7.4442150314388025
364. Vre[364] = 4.02497966934921
365. Vre[365] = 2.4584518661178016
366. Vre[366] = 1.59801448190089
367. Vre[367] = 1.0640637380193994
368. Vre[368] = 0.6985175491142499
369. Vre[369] = -233.02009558227314
370. Vre[370] = 0.1960898364987429
371. Vre[371] = -0.01535937678050292
372. Vre[372] = -0.23774318313795195
373. Vre[373] = -0.5046349405606936
374. Vre[374] = -0.8706758066508531
375. Vre[375] = -1.4465143990828961
376. Vre[376] = -2.5061321222852992
377. Vre[377] = -4.925811022063677
378. Vre[378] = -13.07900625329988
379. Vre[379] = -118.78080003453272
380. Vre[380] = 198.24781958630803
381. Vre[381] = -28.227580985951633
382. Vre[382] = -7.652473817176691
383. Vre[383] = -3.5455301644182438
384. Vre[384] = -2.037636531951623
385. Vre[385] = -1.3199569582156414
386. Vre[386] = -0.9236475335360481
387. Vre[387] = -0.6824173679678154
388. Vre[388] = -0.5250456798302761
389. Vre[389] = -0.41686398548839065
390. Vre[390] = 233.10466240619456
391. Vre[391] = -0.2818507222874267
392. Vre[392] = -0.2379149604789852
393. Vre[393] = -0.20341389819102584
394. Vre[394] = -0.1756073572956005
395. Vre[395] = -0.15260410804592084
396. Vre[396] = -0.13304938914095743
397. Vre[397] = -0.11593368060779419
398. Vre[398] = -0.10047016029832534
399. Vre[399] = -0.08601190371736323
400. Vre[400] = -0.07199195875835684
401. Vre[401] = -0.05787569129327963
402. Vre[402] = -0.04311790745264865
403. Vre[403] = -0.027118414605800112
404. Vre[404] = -0.009169308419057387
405. Vre[405] = 0.011614767015601046
406. Vre[406] = 0.03639660827737501
407. Vre[407] = 0.06676861319402327
408. Vre[408] = 0.10499585956047852
409. Vre[409] = 0.1544223624488552
