Fs = 100.0
282. Vim[282] = 61.6878442390028
283. Vim[283] = -137.18695184005946
284. Vim[284] = -18.53254919888294
285. Vim[285] = -5.129453725086906
286. Vim[286] = 0.6126593069566413
287. Vim[287] = 4.575133018852415
288. Vim[288] = 8.45081140404414
289. Vim[289] = 13.4813896621878
290. Vim[290] = 21.896470027593253
291. Vim[291] = 41.28852402831069
292. Vim[292] = 139.54605000665347
293. Vim[293] = -159.07571815072126
294. Vim[294] = -62.41752987013927
295. Vim[295] = -47.37277556056081
296. Vim[296] = -51.68385741946447
297. Vim[297] = -165.25668206077555
298. Vim[298] = 36.88840535078453
299. Vim[299] = 12.485672782285544
300. Vim[300] = 10.251082548178795
301. Vim[301] = 19.536527454382366
302. Vim[302] = 135.2119082662091
303. Vim[303] = -66.54134348200336
304. Vim[304] = -43.286424482039386
305. Vim[305] = -44.25764001130642
306. Vim[306] = -60.60020955974186
307. Vim[307] = -157.691667887552
308. Vim[308] = 140.79931555313976
309. Vim[309] = 42.55588264184689
310. Vim[310] = 23.272501114513158
311. Vim[311] = 15.05279771112976
312. Vim[312] = 10.326595989315068
313. Vim[313] = 6.931717953485012
314. Vim[314] = 3.807706623976495
315. Vim[315] = -0.1393162733113112
316. Vim[316] = -7.6064669376360134
317. Vim[317] = -35.007708762142116
318. Vim[318] = 164.9710657003526
319. Vim[319] = 49.5838652269168
320. Vim[320] = 44.14524981359461
321. Vim[321] = 67.57374359678985
322. Vim[322] = -132.90194573569448
323. Vim[323] = -15.108128477518722
324. Vim[324] = -2.204197454636812
325. Vim[325] = 3.2457285246122423
326. Vim[326] = 7.052869440761681
327. Vim[327] = 10.87862107316992
328. Vim[328] = 15.955591721013997
329. Vim[329] = 24.522469447410703
330. Vim[330] = 44.20317292203869
331. Vim[331] = 142.95632255412912
332. Vim[332] = -154.80840531228583
333. Vim[333] = -56.55287424503295
334. Vim[334] = -38.02185099250058
335. Vim[335] = -31.70572434146197
336. Vim[336] = -31.31509078905477
337. Vim[337] = -40.32137198233634
338. Vim[338] = -155.01269928360853
339. Vim[339] = 49.04473678980108
340. Vim[340] = 34.2339377387709
341. Vim[341] = 145.19979352872176
342. Vim[342] = -57.29753020571956
343. Vim[343] = -32.50170075206948
344. Vim[344] = -28.59117288450108
345. Vim[345] = -30.188998986129658
346. Vim[346] = -36.89470875225915
347. Vim[347] = -55.54043661107216
348. Vim[348] = -153.78632295913442
349. Vim[349] = 144.06209901415548
350. Vim[350] = 45.45173647329241
351. Vim[351] = 25.975876097760906
352. Vim[352] = 17.694332968381335
353. Vim[353] = 13.024481133728582
354. Vim[354] = 9.816589943493893
355. Vim[355] = 7.05401191124803
356. Vim[356] = 3.744047649063858
357. Vim[357] = -2.574186504157035
358. Vim[358] = -27.677792389874714
359. Vim[359] = 178.02994087880114
360. Vim[360] = 87.48993480735501
361. Vim[361] = -123.61802841560363
362. Vim[362] = -9.315571205408073
363. Vim[363] = 1.9858981710178365
364. Vim[364] = 6.573635186965548
365. Vim[365] = 9.879971877149849
366. Vim[366] = 13.411859444192316
367. Vim[367] = 18.33178196683799
368. Vim[368] = 26.846978176563304
369. Vim[369] = 46.572278685261445
370. Vim[370] = 145.47538853218725
371. Vim[371] = -152.00257003898986
372. Vim[372] = -53.253339816284104
373. Vim[373] = -33.86724642479264
374. Vim[374] = -25.955794176001234
375. Vim[375] = -22.080957340789855
376. Vim[376] = -20.46214564340232
377. Vim[377] = -21.19218187303816
378. Vim[378] = -28.28833463128721
379. Vim[379] = -133.39000340963884
380. Vim[380] = 183.86554719886797
381. Vim[381] = -42.73041026940017
382. Vim[382] = -22.646555764822693
383. Vim[383] = -19.48261189713226
384. Vim[384] = -19.542103657240663
385. Vim[385] = -21.368712329301978
386. Vim[386] = -25.272407410327876
387. Vim[387] = -33.135326495298266
388. Vim[388] = -52.426470104847915
389. Vim[389] = -151.04221580203065
390. Vim[390] = 146.61071961479357
391. Vim[391] = 47.9354289924999
392. Vim[392] = 28.512746731864514
393. Vim[393] = 20.41493237257656
394. Vim[394] = 16.10316644728465
395. Vim[395] = 13.528894053906727
396. Vim[396] = 11.911696970662524
397. Vim[397] = 10.895733945357714
398. Vim[398] = 10.302721190771113
399. Vim[399] = 10.042465870253878
400. Vim[400] = 10.076897173505479
401. Vim[401] = 10.406785989532835
402. Vim[402] = 11.07179430312855
403. Vim[403] = 12.163861022281445
404. Vim[404] = 13.863298092056317
405. Vim[405] = 16.528426131563435
406. Vim[406] = 20.94283617996625
407. Vim[407] = 29.159317056916958
408. Vim[408] = 48.7225695635485
409. Vim[409] = 147.56884354731844
410. Vim[410] = -149.86983295151518
411. Vim[411] = -50.97612453873501
412. Vim[412] = -31.308917707735112
413. Vim[413] = -22.909603097245718
414. Vim[414] = -18.18572132157936
415. Vim[415] = -14.97780547792009
416. Vim[416] = -12.23006438261146
417. Vim[417] = -8.70776339799825
418. Vim[418] = 0.14499741661917182
419. Vim[419] = 106.23986575657561
420. Vim[420] = -210.65429697907283
421. Vim[421] = 15.711664004660582
422. Vim[422] = -5.230878284065579
423. Vim[423] = -10.010473409215546
424. Vim[424] = -12.592083069484422
425. Vim[425] = -14.966162662785468
426. Vim[426] = -17.959015429240722
427. Vim[427] = -22.517491831176685
428. Vim[428] = -30.75998237684308
429. Vim[429] = -50.256687879186956
430. Vim[430] = -148.94781790621707
431. Vim[431] = 148.74743969985417
432. Vim[432] = 50.24460232202579
433. Vim[433] = 31.168289677696063
434. Vim[434] = 23.69191454769039
435. Vim[435] = 20.512862779169268
436. Vim[436] = 20.219412099401577
437. Vim[437] = 24.31371697419457
438. Vim[438] = 48.1268161544694
439. Vim[439] = -158.15438681000086
440. Vim[440] = -67.56026846545316
441. Vim[441] = 144.23094477396495
442. Vim[442] = 31.333547215948915
443. Vim[443] = 22.378880429469692
444. Vim[444] = 21.529904876332886
445. Vim[445] = 24.318144682803325
446. Vim[446] = 31.64770773412549
447. Vim[447] = 50.68434758445594
448. Vim[448] = 149.20980573900025
449. Vim[449] = -148.4140826345337
450. Vim[450] = -49.60150548393729
451. Vim[451] = -29.92051725590375
452. Vim[452] = -21.403510330960366
453. Vim[453] = -16.42667293632222
454. Vim[454] = -12.760518790628945
455. Vim[455] = -9.194925722258455
456. Vim[456] = -4.116394445171882
457. Vim[457] = 8.179466601643313
458. Vim[458] = 124.85617441206111
459. Vim[459] = -78.12225710105027
460. Vim[460] = -62.95792234633222
461. Vim[461] = -174.24203735781205
462. Vim[462] = 27.214486599964374
463. Vim[463] = 0.47756598775802445
464. Vim[464] = -6.668520519659796
465. Vim[465] = -10.471625205537128
466. Vim[466] = -13.559384313259091
467. Vim[467] = -16.994689835700406
468. Vim[468] = -21.825969927170895
469. Vim[469] = -30.215872765304738
470. Vim[470] = -49.74755221142683
471. Vim[471] = -148.34934143448433
472. Vim[472] = 149.602730808533
473. Vim[473] = 51.624616088671395
474. Vim[474] = 33.57630927610603
475. Vim[475] = 28.267091591594074
476. Vim[476] = 30.675794339047197
477. Vim[477] = 55.0762478391405
478. Vim[478] = -146.6657818041333
479. Vim[479] = -32.16132669551384
480. Vim[480] = -26.86592161521808
481. Vim[481] = -49.69921190344104
482. Vim[482] = 152.24879688513641
483. Vim[483] = 37.1590744838473
484. Vim[484] = 29.008623214521204
485. Vim[485] = 32.498964582090274
486. Vim[486] = 49.53416998189294
487. Vim[487] = 146.73417133881082
488. Vim[488] = -151.9366278476412
489. Vim[489] = -54.07392983109737
490. Vim[490] = -35.35727045089748
491. Vim[491] = -27.91739001173171
492. Vim[492] = -24.256058981641207
493. Vim[493] = -22.35870571157663
494. Vim[494] = -21.479898500773697
495. Vim[495] = -21.30756085788696
496. Vim[496] = -21.727794859623625
497. Vim[497] = -22.758929610482674
498. Vim[498] = -24.57161976779551
499. Vim[499] = -27.6363173707908
500. Vim[500] = -33.31889409483569
501. Vim[501] = -47.376288316223665
502. Vim[502] = -167.40058725108753
503. Vim[503] = 29.2680358905767
504. Vim[504] = -0.9863641308058453
505. Vim[505] = -11.294506892634038
506. Vim[506] = -18.432770246941704
507. Vim[507] = -25.56603878431901
508. Vim[508] = -34.647968612112365
509. Vim[509] = -48.85422945177118
510. Vim[510] = -77.95316780391822
511. Vim[511] = -197.52436241707576
512. Vim[512] = 5.043692806731362E-12
513. Vim[513] = 197.52436241709495
514. Vim[514] = 77.95316780390708
515. Vim[515] = 48.85422945177865
516. Vim[516] = 34.647968612135394
517. Vim[517] = 25.566038784332388
518. Vim[518] = 18.432770246949982
519. Vim[519] = 11.294506892634963
520. Vim[520] = 0.986364130815378
521. Vim[521] = -29.268035890540087
522. Vim[522] = 167.40058725106672
523. Vim[523] = 47.37628831621022
524. Vim[524] = 33.31889409481583
525. Vim[525] = 27.636317370793517
526. Vim[526] = 24.571619767796616
527. Vim[527] = 22.7589296104669
528. Vim[528] = 21.72779485960272
529. Vim[529] = 21.30756085787604
530. Vim[530] = 21.479898500787385
531. Vim[531] = 22.358705711590616
532. Vim[532] = 24.25605898161868
533. Vim[533] = 27.91739001173181
534. Vim[534] = 35.357270450904075
535. Vim[535] = 54.07392983110133
536. Vim[536] = 151.93662784761034
537. Vim[537] = -146.73417133884587
538. Vim[538] = -49.5341699819068
539. Vim[539] = -32.498964582098864
540. Vim[540] = -29.00862321451707
541. Vim[541] = -37.159074483866966
542. Vim[542] = -152.24879688513
543. Vim[543] = 49.699211903460586
544. Vim[544] = 26.86592161524465
545. Vim[545] = 32.16132669552903
546. Vim[546] = 146.66578180412648
547. Vim[547] = -55.07624783914773
548. Vim[548] = -30.67579433902932
549. Vim[549] = -28.267091591592756
550. Vim[550] = -33.57630927610505
551. Vim[551] = -51.62461608870195
552. Vim[552] = -149.60273080851627
553. Vim[553] = 148.34934143449283
554. Vim[554] = 49.74755221143811
555. Vim[555] = 30.215872765302503
556. Vim[556] = 21.825969927194972
557. Vim[557] = 16.99468983572892
558. Vim[558] = 13.559384313290153
559. Vim[559] = 10.471625205543342
560. Vim[560] = 6.668520519652901
561. Vim[561] = -0.47756598775570946
562. Vim[562] = -27.214486599953094
563. Vim[563] = 174.24203735778346
564. Vim[564] = 62.95792234630866
565. Vim[565] = 78.12225710102068
566. Vim[566] = -124.85617441204964
567. Vim[567] = -8.179466601638822
568. Vim[568] = 4.116394445168696
569. Vim[569] = 9.19492572224334
570. Vim[570] = 12.760518790628687
571. Vim[571] = 16.426672936354358
572. Vim[572] = 21.403510330972857
573. Vim[573] = 29.920517255871612
574. Vim[574] = 49.60150548393313
575. Vim[575] = 148.4140826345215
576. Vim[576] = -149.2098057390138
577. Vim[577] = -50.68434758446913
578. Vim[578] = -31.647707734147858
579. Vim[579] = -24.318144682811052
580. Vim[580] = -21.529904876341664
581. Vim[581] = -22.378880429435274
582. Vim[582] = -31.333547215957054
583. Vim[583] = -144.2309447739636
584. Vim[584] = 67.56026846547603
585. Vim[585] = 158.1543868100196
586. Vim[586] = -48.126816154471264
587. Vim[587] = -24.313716974210195
588. Vim[588] = -20.21941209942222
589. Vim[589] = -20.512862779155267
590. Vim[590] = -23.691914547706194
591. Vim[591] = -31.168289677696865
592. Vim[592] = -50.244602322042994
593. Vim[593] = -148.74743969982845
594. Vim[594] = 148.94781790623503
595. Vim[595] = 50.25668787921065
596. Vim[596] = 30.759982376842405
597. Vim[597] = 22.517491831191407
598. Vim[598] = 17.959015429264554
599. Vim[599] = 14.966162662809914
600. Vim[600] = 12.592083069477816
601. Vim[601] = 10.01047340920199
602. Vim[602] = 5.23087828404718
603. Vim[603] = -15.711664004651581
604. Vim[604] = 210.65429697904452
605. Vim[605] = -106.23986575658466
606. Vim[606] = -0.14499741663003776
607. Vim[607] = 8.707763398000935
608. Vim[608] = 12.230064382620592
609. Vim[609] = 14.977805477938782
610. Vim[610] = 18.185721321581603
611. Vim[611] = 22.90960309724485
612. Vim[612] = 31.30891770774958
613. Vim[613] = 50.976124538727
614. Vim[614] = 149.8698329514655
615. Vim[615] = -147.56884354734387
616. Vim[616] = -48.722569563569834
617. Vim[617] = -29.159317056926234
618. Vim[618] = -20.942836180004367
619. Vim[619] = -16.52842613158001
620. Vim[620] = -13.86329809204114
621. Vim[621] = -12.163861022281143
622. Vim[622] = -11.071794303109153
623. Vim[623] = -10.406785989544916
624. Vim[624] = -10.076897173516125
625. Vim[625] = -10.042465870237386
626. Vim[626] = -10.302721190753013
627. Vim[627] = -10.89573394537458
628. Vim[628] = -11.911696970674015
629. Vim[629] = -13.528894053928983
630. Vim[630] = -16.103166447268773
631. Vim[631] = -20.414932372568938
632. Vim[632] = -28.512746731856474
633. Vim[633] = -47.935428992489086
634. Vim[634] = -146.61071961476253
635. Vim[635] = 151.04221580206553
636. Vim[636] = 52.42647010487164
